Fecha,Hombre,Mujer,No_Especifica
2012-01-01,1507,1258,1
2012-02-01,1560,1202,1
2012-03-01,1649,1293,1
2012-04-01,1557,1236,1
2012-05-01,1525,1141,1
2012-06-01,1561,1213,1
2012-07-01,1585,1290,1
2012-08-01,1568,1274,1
2012-09-01,1475,1118,1
2012-10-01,1525,1208,1
2012-11-01,1672,1330,1
2012-12-01,1647,1388,1
2013-01-01,1571,1294,1
2013-02-01,1551,1253,1
2013-03-01,1659,1356,1
2013-04-01,1589,1211,1
2013-05-01,1540,1235,1
2013-06-01,1624,1294,1
2013-07-01,1651,1313,1
2013-08-01,1630,1349,1
2013-09-01,1468,1130,1
2013-10-01,1575,1235,1
2013-11-01,1677,1368,1
2013-12-01,1694,1460,1
2014-01-01,1673,1363,1
2014-02-01,1689,1290,1
2014-03-01,1744,1464,1
2014-04-01,1721,1378,1
2014-05-01,1690,1278,1
2014-06-01,1626,1297,1
2014-07-01,1658,1390,1
2014-08-01,1716,1356,1
2014-09-01,1548,1173,1
2014-10-01,1580,1214,1
2014-11-01,1697,1365,1
2014-12-01,1654,1430,1
2015-01-01,1662,1352,1
2015-02-01,1629,1298,1
2015-03-01,1794,1469,1
2015-04-01,1673,1330,1
2015-05-01,1655,1287,1
2015-06-01,1597,1295,1
2015-07-01,1670,1384,1
2015-08-01,1672,1366,1
2015-09-01,1604,1226,1
2015-10-01,1645,1279,1
2015-11-01,1700,1381,1
2015-12-01,1736,1452,1
2016-01-01,1700,1357,1
2016-02-01,1707,1332,1
2016-03-01,1756,1412,1
2016-04-01,1697,1325,1
2016-05-01,1683,1289,1
2016-06-01,1618,1260,1
2016-07-01,1655,1333,1
2016-08-01,1639,1309,1
2016-09-01,1558,1187,1
2016-10-01,1637,1268,1
2016-11-01,1758,1371,1
2016-12-01,1787,1517,1
2017-01-01,1689,1421,1
2017-02-01,1671,1307,1
2017-03-01,1751,1425,1
2017-04-01,1686,1350,1
2017-05-01,1621,1268,1
2017-06-01,1537,1249,1
2017-07-01,1587,1318,1
2017-08-01,1590,1327,1
2017-09-01,1499,1188,1
2017-10-01,1647,1311,1
2017-11-01,1732,1374,1
2017-12-01,1772,1506,1
2018-01-01,1705,1414,2
2018-02-01,1651,1357,1
2018-03-01,1803,1507,1
2018-04-01,1758,1442,1
2018-05-01,1701,1343,1
2018-06-01,1651,1322,1
2018-07-01,1634,1318,1
2018-08-01,1628,1400,1
2018-09-01,1495,1215,1
2018-10-01,1577,1267,1
2018-11-01,1697,1394,1
2018-12-01,1664,1476,1
2019-01-01,1706,1420,1
2019-02-01,1703,1411,1
2019-03-01,1811,1521,1
2019-04-01,1683,1443,1
2019-05-01,1610,1293,1
2019-06-01,1607,1296,1
2019-07-01,1600,1334,1
2019-08-01,1621,1349,1
2019-09-01,1517,1230,1
2019-10-01,1632,1372,1
2019-11-01,1742,1451,1
2019-12-01,1776,1501,1
2020-01-01,1674,1459,1
2020-02-01,1711,1436,1
2020-03-01,1403,1174,1
2020-04-01,344,241,1
2020-05-01,372,257,1
2020-06-01,628,501,1
2020-07-01,755,609,1
2020-08-01,825,675,1
2020-09-01,917,746,1
2020-10-01,1083,855,1
2020-11-01,1113,935,1
2020-12-01,1229,1028,1
2021-01-01,1116,900,1
2021-02-01,983,812,1
2021-03-01,1188,1007,1
2021-04-01,1267,1070,1
2021-05-01,1319,1160,1
2021-06-01,1354,1127,1
2021-07-01,1349,1179,1
2021-08-01,1377,1183,1
2021-09-01,1312,1080,1
2021-10-01,1406,1182,1
2021-11-01,1570,1349,1
2021-12-01,1606,1448,1
2022-01-01,1461,1274,1
2022-02-01,1522,1288,1
2022-03-01,1659,1451,1
2022-04-01,1638,1377,1
2022-05-01,1646,1399,1
2022-06-01,1569,1343,1
2022-07-01,1619,1386,1
2022-08-01,1602,1401,1
2022-09-01,1559,1323,1
2022-10-01,1685,1422,1
