Continente,Nacionalidad,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Total
Africa,Angola,200,286,342,393,290,288,265,189,50,85,144,2532
Africa,Argelia,434,653,656,604,733,808,897,1050,360,625,828,7648
Africa,Benin,79,73,135,119,166,78,105,107,39,78,109,1088
Africa,Botsuana,29,22,36,57,87,56,65,114,36,30,75,607
Africa,Burkina Faso,34,39,50,78,80,89,84,83,37,75,105,754
Africa,Burundi,29,31,39,39,27,33,41,36,17,26,41,359
Africa,Cabo Verde,66,81,71,107,138,122,160,167,93,250,252,1507
Africa,Camerun,293,566,455,516,696,439,528,551,223,433,711,5411
Africa,"Centroafricana, Rep.",3,10,9,7,10,9,18,10,6,6,8,96
Africa,Chad,7,15,18,13,9,18,19,12,2,6,14,133
Africa,Comoras,1,2,12,4,6,5,3,4,3,1,5,46
Africa,"Congo, Rep.",113,76,85,84,128,105,79,119,25,40,66,920
Africa,"Congo, Rep. Dem.",76,133,155,163,165,186,216,250,99,192,242,1877
Africa,Costa de Marfil,161,198,212,299,301,354,354,432,126,296,401,3134
Africa,Djibouti,14,7,11,8,21,17,5,2,1,8,5,99
Africa,Egipto,1818,2051,2414,2741,2959,2983,3189,3617,1299,2388,2822,28281
Africa,Eritrea,70,83,101,123,86,66,59,86,22,41,68,805
Africa,Etiopia,411,362,500,465,505,466,601,743,491,1060,696,6300
Africa,Gabon,31,45,68,92,58,52,91,50,27,56,63,633
Africa,Gambia,24,12,34,29,53,29,67,68,29,78,87,510
Africa,Ghana,259,421,355,499,548,631,720,878,413,920,1246,6890
Africa,Guinea,464,427,495,645,567,463,434,389,123,198,225,4430
Africa,Guinea Bissau,12,20,69,67,49,27,27,15,5,8,16,315
Africa,Guinea Ecuatorial,19,18,34,46,58,81,91,46,20,27,27,467
Africa,Kenia,730,807,1038,1193,1304,1308,1515,1679,605,1111,1373,12663
Africa,Lesoto,7,8,20,11,18,22,24,20,5,10,11,156
Africa,Liberia,50,43,74,131,118,88,145,141,143,334,320,1587
Africa,Libia,66,94,118,107,83,104,112,114,58,71,110,1037
Africa,Madagascar,19,17,35,74,66,73,84,80,14,34,64,560
Africa,Mahore,3,0,0,0,0,0,0,0,1,0,0,4
Africa,Malaui,36,33,42,64,77,80,74,111,18,48,81,664
Africa,Mali,35,38,56,52,93,93,88,157,56,69,86,823
Africa,Marruecos,1182,1506,1630,1804,2257,2748,3216,3948,1283,1807,2721,24102
Africa,Mauricio,125,146,162,180,203,282,285,351,62,115,217,2128
Africa,Mauritania,9,12,27,16,38,13,36,28,11,18,145,353
Africa,Mozambique,46,50,96,97,108,109,102,128,31,21,62,850
Africa,Namibia,88,45,77,113,85,135,107,112,39,59,69,929
Africa,Niger,10,13,25,28,25,47,24,29,13,15,41,270
Africa,Nigeria,1147,1751,1899,2425,2347,2548,3115,3664,1508,3680,5779,29863
Africa,"Reunion, Islas",2,2,4,2,3,6,4,3,1,0,2,29
Africa,Ruanda,93,99,76,76,88,72,117,148,45,120,117,1051
Africa,"Saharaui, Rep. arabe",2,0,0,0,10,30,15,11,6,7,13,94
Africa,Santa Helena (Terr. Ultram. R. Unido),1,0,1,1,2,2,0,0,0,0,0,7
Africa,Santo Tome y Principe,7,13,13,16,16,14,18,11,2,2,1,113
Africa,Senegal,124,184,198,212,209,216,275,319,152,243,256,2388
Africa,"Seychelles, Islas",13,8,14,10,27,18,29,21,15,18,23,196
Africa,Sierra Leona,53,54,54,75,53,83,88,105,50,136,156,907
Africa,Somalia,11,8,24,12,14,7,17,32,7,16,46,194
Africa,Suazilandia,13,42,24,12,30,120,29,157,5,9,151,592
Africa,Sudafrica,5884,5789,5972,6536,6851,7545,7976,8189,2551,5477,5506,68276
Africa,Sudan,61,48,80,66,94,104,90,96,34,69,78,820
Africa,"Sudan del Sur, Rep.",2,0,4,1,1,0,0,1,0,0,0,9
Africa,Tanzania,206,150,236,286,194,248,271,278,86,178,259,2392
Africa,Terr. Britanico del Oceano indico,2,2,0,2,1,0,2,1,0,0,1,11
Africa,Togo,60,86,83,116,70,96,97,93,39,63,88,891
Africa,Tunez,382,512,730,808,1078,1279,1440,1518,743,896,1222,10608
Africa,Uganda,149,102,132,195,218,217,276,302,67,189,258,2105
Africa,Zambia,85,109,191,185,194,226,167,293,75,94,137,1756
Africa,Zimbabue,228,319,257,439,475,621,623,736,193,351,548,4790
America Central,Belice,4422,4172,5080,5398,4538,4262,4819,4209,1297,3121,3819,45137
America Central,Costa Rica,59361,62507,66356,86280,111747,138207,162858,175693,49517,103597,136905,1153028
America Central,El Salvador,28283,27838,37347,45385,52538,65436,65640,79919,20330,33739,53647,510102
America Central,Guatemala,59091,66894,67136,95141,129025,154075,168340,160166,38875,62395,91223,1092361
America Central,Honduras,15748,19112,20190,22220,26907,38530,34408,37071,10223,21076,29719,275204
America Central,Nicaragua,7919,8155,9123,12683,15630,19553,16557,15861,5061,8008,14003,132553
America Central,Panama,30347,34835,38129,48126,50631,48580,53450,55759,16868,34738,39844,451307
America del Norte,"Bermudas, Islas (R. Unido)",224,266,359,338,377,373,346,277,63,119,182,2924
America del Norte,Canada,1571543,1599425,1676681,1748531,1781469,1985084,2155383,2309528,975697,503589,1210397,17517327
America del Norte,Estados Unidos,5941911,6479040,7164374,8391667,9417601,10340465,10496434,10511433,5151181,10239989,10654479,94788574
America del Norte,Groenlandia,2,1,0,0,0,3,1,0,0,1,0,8
America del Sur,Argentina,251221,257820,246404,341106,405959,474248,490211,387338,105135,113782,264958,3338182
America del Sur,Bolivia,9775,11137,11746,14436,18006,19732,21242,21463,5442,18436,29179,180594
America del Sur,Brasil,248899,267507,309696,304230,307439,376520,389605,396817,134066,319842,251282,3305903
America del Sur,Chile,88148,94647,107455,129679,151189,178641,190413,201397,57622,90210,167392,1456793
America del Sur,Colombia,163725,262653,328213,407395,439689,485371,557614,602832,169689,454880,717652,4589713
America del Sur,Ecuador,33531,36641,52586,61681,64175,67437,93558,175744,61515,129516,48524,824908
America del Sur,Guayana Francesa,1,3,1,2,1,0,1,1,1,0,1,12
America del Sur,Guyana,339,435,544,567,840,958,1003,1025,417,913,977,8018
America del Sur,Islas Malvinas,0,1,0,0,0,0,0,0,0,1,0,2
America del Sur,Paraguay,10219,13047,15900,19470,18505,20074,23866,22656,5809,12525,13486,175557
America del Sur,Peru,90892,126327,136361,159705,182042,212613,257138,291849,76508,125664,259132,1918231
America del Sur,Surinam,139,114,221,131,181,166,168,195,43,73,223,1654
America del Sur,Uruguay,16765,20922,23537,32890,34262,35217,36838,37278,8897,21990,33296,301892
America del Sur,Venezuela,129331,164968,176535,127567,93494,91601,99521,105929,40942,191897,71873,1293658
Apatrida,Apatrida,10,9,13,18,15,22,14,28,13,17,18,177
Asia,Afganistan,87,112,125,119,160,139,227,234,107,775,485,2570
Asia,Arabia Saudita,2384,3017,4257,5739,4657,3320,4226,3165,721,1144,1733,34363
Asia,Armenia,706,762,933,1354,1439,1679,2010,1717,788,3639,3949,18976
