Mes,A_2012x,A_2013x,A_2014x,A_2015x,A_2016x,A_2017x,A_2018x,A_2019x,A_2020x,A_2021x,A_2022x,Total
Enero,1024573,1076856,1203743,1310427,1443583,1605260,1707521,1703511,1781003,655276,1461513,14973266
Febrero,1039879,1068865,1193134,1278767,1434093,1547112,1664130,1700725,1807501,543913,1559698,14837817
Marzo,1152292,1259444,1351330,1457808,1606585,1773430,1949940,1987951,943529,901223,1982565,16366097
Abril,882014,951582,1065483,1217791,1321013,1537098,1537147,1580596,21607,919273,1760585,12794189
Mayo,772271,880328,998666,1123803,1225049,1371906,1425317,1489596,29754,1168296,1659322,12144308
Junio,889743,988359,1094189,1253864,1371645,1552015,1612871,1634398,115176,1402860,1814004,13729124
Julio,930182,1009829,1140849,1310802,1462250,1639584,1672920,1666184,294623,1544873,1917991,14590087
Agosto,781028,875351,970051,1115571,1181704,1323180,1379745,1387669,336813,1180722,1561718,12093552
Septiembre,590537,646958,670568,821368,922348,986538,1027098,1019616,373491,998155,1298744,9355421
Octubre,718997,800430,835399,1026893,1142257,1188746,1277148,1316515,562992,1284593,1581621,11735591
Noviembre,878055,981287,1060636,1209634,1312045,1440664,1517035,1564188,678529,1511249,0,12153322
Diciembre,1145178,1234895,1335169,1521365,1735393,1888105,1901169,1950758,972431,1914951,0,15599414
