Nacionalidad,country,Regiones,continent,Hombre,Mujer,Total
Afganistan,Afghanistan,Asia,Asia,1618,952,2570
Albania,Albania,Europa,Europe,5752,5915,11667
Alemania,Germany,Europa,Europe,1329145,992395,2321540
Andorra,Andorra,Europa,Europe,2283,1702,3985
Angola,Angola,Africa,Africa,1354,1178,2532
Anguila,Anguila,Islas del Caribe,Caribbean Islands,10,7,17
Antigua y Barbuda,Antigua and Barbuda,Islas del Caribe,Caribbean Islands,1049,824,1873
Antillas Holandesas (P. Bajos),Netherlands,Islas del Caribe,Caribbean Islands,11,14,25
Apatrida,Stateless,Apatrida,Stateless,137,40,177
Arabia Saudita,Saudi Arabia,Asia,Asia,26574,7789,34363
Argelia,Algeria,Africa,Africa,4637,3011,7648
Argentina,Argentina,America del Sur,South America,1687661,1650521,3338182
Armenia,Armenia,Asia,Asia,9781,9195,18976
Aruba (P. Bajos),Netherlands,Islas del Caribe,Caribbean Islands,4,2,6
Australia,Australia,Oceania,Oceania,339031,317629,656660
Austria,Austria,Europa,Europe,129290,95489,224779
Azerbaiyan,Azerbaijan,Asia,Asia,2772,1937,4709
"Azores, Islas",NI,Europa,Europe,2,5,7
Bahamas (Comonwealth),"Bahamas, The",Islas del Caribe,Caribbean Islands,4815,4552,9367
Bahrein,Bahrain,Asia,Asia,1025,541,1566
Bangladesh,Bangladesh,Asia,Asia,5902,3477,9379
Barbados,Barbados,Islas del Caribe,Caribbean Islands,3051,2474,5525
Belgica,Belgium,Europa,Europe,193102,165044,358146
Belice,Belize,America Central,Central America,26512,18625,45137
Benin,Benin,Africa,Africa,757,331,1088
"Bermudas, Islas (R. Unido)",United Kingdom,America del Norte,North America,1517,1407,2924
Bielorrusia,Belarus,Europa,Europe,11806,16971,28777
Bolivia,Bolivia,America del Sur,South America,89106,91488,180594
Bosnia - Herzegovina,Bosnia and Herzegovina,Europa,Europe,4911,3859,8770
Botsuana,Botswana,Africa,Africa,298,309,607
Brasil,Brazil,America del Sur,South America,1675740,1630163,3305903
Brunei,Brunei,Asia,Asia,72,92,164
Bulgaria,Bulgaria,Europa,Europe,26638,28976,55614
Burkina Faso,Burkina Faso,Africa,Africa,475,279,754
Burundi,Burundi,Africa,Africa,182,177,359
Butan,Bhutan,Asia,Asia,270,147,417
Cabo Verde,Cabo Verde,Africa,Africa,735,772,1507
"Caiman, Islas (R. Unido)","Cayman Islands, The",Islas del Caribe,Caribbean Islands,209,146,355
Camboya,Cambodia,Asia,Asia,538,686,1224
Camerun,Cameroon,Africa,Africa,3218,2193,5411
Canada,Canada,America del Norte,North America,8532021,8985306,17517327
"Centroafricana, Rep.",Central African Republic,Africa,Africa,64,32,96
Chad,Chad,Africa,Africa,110,23,133
"Checa, Rep.",Czech Republic,Europa,Europe,68079,62223,130302
Chile,Chile,America del Sur,South America,739503,717290,1456793
China,China,Asia,Asia,536594,464186,1000780
Chipre,Cyprus,Asia,Asia,4028,2720,6748
"Cocos, Islas",NI,Oceania,Oceania,17,22,39
Colombia,Colombia,America del Sur,South America,2142996,2446717,4589713
Comoras,Comoros,Africa,Africa,33,13,46
"Congo, Rep.","Congo, Dem. Rep.",Africa,Africa,586,334,920
"Congo, Rep. Dem.","Congo, Rep.",Africa,Africa,1194,683,1877
"Cook, Islas",NI,Oceania,Oceania,8,15,23
"Corea, R.P.D. (Norte)",Korea,Asia,Asia,1427,124,1551
"Corea, Rep. (Sur)",Korea,Asia,Asia,470648,361259,831907
Costa de Marfil,Cote d'Ivoire,Africa,Africa,1796,1338,3134
Costa Rica,Costa Rica,America Central,Central America,569883,583145,1153028
Croacia,Croatia,Europa,Europe,19724,14237,33961
Cuba,Cuba,Islas del Caribe,Caribbean Islands,533869,501774,1035643
Dinamarca,Denmark,Europa,Europe,100198,80356,180554
Djibouti,Djibouti,Africa,Africa,59,40,99
Dominica (Comonwealth),Dominica (Commonwealth),Islas del Caribe,Caribbean Islands,1040,602,1642
"Dominicana, Rep.",Dominican Republic,Islas del Caribe,Caribbean Islands,90783,87171,177954
Ecuador,Ecuador,America del Sur,South America,410177,414731,824908
Egipto,Egypt,Africa,Africa,18563,9718,28281
El Salvador,El Salvador,America Central,Central America,253640,256462,510102
Emiratos arabes Unidos,United Arab Emirates,Asia,Asia,3812,929,4741
Eritrea,Eritrea,Africa,Africa,489,316,805
Eslovaquia,Slovakia,Europa,Europe,30667,34704,65371
Eslovenia,Slovenia,Europa,Europe,14347,11595,25942
España,Spain,Europa,Europe,1927284,1421388,3348672
Estados Unidos,United States,America del Norte,North America,46739918,48048656,94788574
Estonia,Estonia,Europa,Europe,11317,14473,25790
Etiopia,Ethiopia,Africa,Africa,3783,2517,6300
"Faroe, Islas",faroe islands,Europa,Europe,3,4,7
Filipinas,Philippines,Asia,Asia,76989,65625,142614
Finlandia,Finland,Europa,Europe,58745,60528,119273
"Fiyi, Islas",fiji islands,Oceania,Oceania,1105,982,2087
Francia,France,Europa,Europe,1302629,1136196,2438825
Gabon,Gabon,Africa,Africa,336,297,633
Gambia,Gambia,Africa,Africa,257,253,510
Georgia,Georgia,Asia,Asia,8034,4090,12124
Ghana,Ghana,Africa,Africa,4608,2282,6890
Gibraltar,Gibraltar,Europa,Europe,6,3,9
Granada,Grenade,Islas del Caribe,Caribbean Islands,1092,880,1972
Grecia,Greece,Europa,Europe,30035,19767,49802
Groenlandia,greenland,America del Norte,North America,3,5,8
Guadalupe (Francia),Guadeloupe (France),Islas del Caribe,Caribbean Islands,7,,7
"Guam, Islas",Guam Islands,Oceania,Oceania,7,8,15
Guatemala,Guatemala,America Central,Central America,619428,472933,1092361
Guayana Francesa,french guiana,America del Sur,South America,7,5,12
Guinea,Guinea,Africa,Africa,3059,1371,4430
Guinea Bissau,Guinea-Bissau,Africa,Africa,144,171,315
Guinea Ecuatorial,Equatorial Guinea,Africa,Africa,248,219,467
Guyana,Guiana,America del Sur,South America,4048,3970,8018
Haiti,Haiti,Islas del Caribe,Caribbean Islands,27522,18562,46084
Honduras,Honduras,America Central,Central America,139006,136198,275204
Hong Kong (China),"Hong Kong, China",Asia,Asia,12854,13472,26326
Hungria,Hungary,Europa,Europe,47610,47854,95464
India,India,Asia,Asia,409211,216293,625504
Indonesia,Indonesia,Asia,Asia,17341,12933,30274
Irak,Iran,Asia,Asia,2964,1704,4668
Iran,Iraq,Asia,Asia,22765,22320,45085
Irlanda,Ireland,Europa,Europe,133031,110469,243500
Isla de San Martin (Antillas Neerlandesas-Francia) ,Saint Martin Island (Netherlands Antilles-France),Islas del Caribe,Caribbean Islands,,1,1
Islandia,Iceland,Europa,Europe,7212,6088,13300
Islas Malvinas,Falkland Islands,America del Sur,South America,1,1,2
Islas Marshall (EUA),Marshall Islands (USA),Oceania,Oceania,103,168,271
Israel,Israel,Asia,Asia,223605,163484,387089
Italia,Italy,Europa,Europe,931912,642344,1574256
Jamaica,Jamaica,Islas del Caribe,Caribbean Islands,32870,29876,62746
Japon,Japan,Asia,Asia,713929,397374,1111303
Jordania,Jordan,Asia,Asia,6175,3613,9788
Kazajistan,Kazakhstan,Asia,Asia,6140,9009,15149
Kenia,Kenya,Africa,Africa,6360,6303,12663
Kirguistan,Kyrgyzstan,Asia,Asia,1632,1851,3483
Kiribati,Kiribati,Oceania,Oceania,159,51,210
"Kosovo, Rep.",Kosovo,Europa,Europe,1,,1
Kuwait,Kuwait,Asia,Asia,9306,2900,12206
Laos,Laos,Asia,Asia,197,332,529
Lesoto,Lesotho,Africa,Africa,74,82,156
Letonia,latvia,Europa,Europe,11006,14354,25360
Libano,Lebanon,Asia,Asia,12741,8906,21647
Liberia,Liberia,Africa,Africa,749,838,1587
Libia,Libya,Africa,Africa,728,309,1037
Liechtenstein,liechtenstein,Europa,Europe,1301,857,2158
Lituania,Lithuania,Europa,Europe,22918,30256,53174
Luxemburgo,Luxembourg,Europa,Europe,8262,7249,15511
Macao (China),Macau,Asia,Asia,148,193,341
Macedonia,Macedonia,Europa,Europe,3924,3712,7636
Madagascar,Madagascar,Africa,Africa,229,331,560
Mahore,Mahore,Africa,Africa,3,1,4
Malasia,Malaysia,Asia,Asia,23138,14458,37596
Malaui,Malawi,Africa,Africa,372,292,664
Maldivas,Maldives,Asia,Asia,67,42,109
Mali,Mali,Africa,Africa,508,315,823
Malta,malt,Europa,Europe,2897,2141,5038
"Marianas, Islas",Mariana Islands,Oceania,Oceania,,2,2
Marruecos,Morocco,Africa,Africa,12797,11305,24102
Martinica (Terr. Ultram. Francia),Martinique (Terr. Ultram. France),Islas del Caribe,Caribbean Islands,1,1,2
Mauricio,Mauritius,Africa,Africa,1100,1028,2128
Mauritania,Mauritania,Africa,Africa,277,76,353
Mianmar (Birmania),Myanmar,Asia,Asia,1626,696,2322
Moldavia,moldova,Europa,Europe,5413,7282,12695
Monaco,Monaco,Europa,Europe,570,547,1117
Mongolia,Mongolia,Asia,Asia,1203,1881,3084
Montenegro,Montenegro,Europa,Europe,1674,1282,2956
Montserrat (R. Unido),Montserrat (United Kingdom),Islas del Caribe,Caribbean Islands,7,1,8
Mozambique,Mozambique,Africa,Africa,492,358,850
Namibia,Namibia,Africa,Africa,479,450,929
Nauru,Nepal,Oceania,Oceania,5,6,11
"Navidad, Islas",Christmas,Oceania,Oceania,14,11,25
Nepal,Nepal,Asia,Asia,5933,4538,10471
Nicaragua,Nicaragua,America Central,Central America,66297,66256,132553
Niger,Niger,Africa,Africa,195,75,270
Nigeria,Nigeria,Africa,Africa,17369,12494,29863
"Niue, Islas",Niue Islands,Oceania,Oceania,2,1,3
Noruega,Norway,Europa,Europe,72055,63803,135858
Nueva Caledonia,new caledonia,Oceania,Oceania,4,,4
Nueva Zelandia,New Zealand,Oceania,Oceania,64469,56354,120823
Oman,Oman,Asia,Asia,1246,483,1729
Paises Bajos (Holanda),Netherlands,Europa,Europe,396488,317000,713488
Pakistan,Pakistan,Asia,Asia,16270,8545,24815
Palestina,Palestine,Asia,Asia,1289,789,2078
Panama,Panama,America Central,Central America,237003,214304,451307
Papua Nueva Guinea,Papua New Guinea,Oceania,Oceania,102,62,164
Paraguay,Paraguay,America del Sur,South America,76324,99233,175557
Peru,Peru,America del Sur,South America,893267,1024964,1918231
"Pitcairn, Islas",Pitcairn Islands,Oceania,Oceania,1,3,4
Polinesia Francesa,French Polynesia,Oceania,Oceania,3,4,7
Polonia,Poland,Europa,Europe,208963,229516,438479
Portugal,Portugal,Europa,Europe,226365,188323,414688
Puerto Rico (EUA),Puerto Rico,Islas del Caribe,Caribbean Islands,27,26,53
Qatar,Qatar,Asia,Asia,1596,314,1910
Reino Unido,United Kingdom,Europa,Europe,2441425,2292048,4733473
Republica de Micronesia (EUA),Republic of Micronesia (USA),Oceania,Oceania,211,341,552
Republica de Palaos (EUA),Republic of Palau (USA),Oceania,Oceania,174,187,361
"Reunion, Islas",Reunion,Africa,Africa,16,13,29
Ruanda,Rwanda,Africa,Africa,593,458,1051
Rumania,Romania,Europa,Europe,74520,75108,149628
Rusia,Russia,Europa,Europe,303509,388281,691790
"Saharaui, Rep. arabe",Saharawi,Africa,Africa,87,7,94
"Salomon, Islas",solomon islands,Oceania,Oceania,45,27,72
Samoa Americana,American Samoa,Oceania,Oceania,11,3,14
Samoa Occidental,western samoa,Oceania,Oceania,150,68,218
San Cristobal y Nieves,Saint Kitts and Nevis,Islas del Caribe,Caribbean Islands,1017,479,1496
San Marino,San Marino,Europa,Europe,457,372,829
San Vicente y Las Granadinas,St. Vincent and the Grenadines,Islas del Caribe,Caribbean Islands,1352,712,2064
Santa Helena (Terr. Ultram. R. Unido),Saint Helena (U.K. Outer Territories),Africa,Africa,2,5,7
Santa Lucia,St. Lucia,Islas del Caribe,Caribbean Islands,1375,1367,2742
Santo Tome y Principe,Sao Tome and Principe,Africa,Africa,94,19,113
Senegal,Senegal,Africa,Africa,1450,938,2388
Serbia,Serbia,Europa,Europe,15282,15524,30806
Serbia y Montenegro,Serbia and Montenegro,Europa,Europe,1,,1
"Seychelles, Islas",Seychelles,Africa,Africa,110,86,196
Sierra Leona,Sierra Leone,Africa,Africa,529,378,907
Singapur,Singapore,Asia,Asia,18302,15954,34256
Siria,Syria,Asia,Asia,3262,2447,5709
Somalia,Somalia,Africa,Africa,132,62,194
Sri Lanka,Sri Lanka,Asia,Asia,4374,2337,6711
Suazilandia,Swaziland,Africa,Africa,351,241,592
Sudafrica,South Africa,Africa,Africa,38671,29605,68276
Sudan,Sudan,Africa,Africa,567,253,820
"Sudan del Sur, Rep.",South Sudan,Africa,Africa,6,3,9
Suecia,Sweden,Europa,Europe,197174,188549,385723
Suiza,Switzerland,Europa,Europe,218682,186144,404826
Surinam,Surinam,America del Sur,South America,953,701,1654
Tailandia,Thailand,Asia,Asia,10384,16710,27094
Taiwan,Taiwan,Asia,Asia,42335,41164,83499
Tanzania,Tanzania,Africa,Africa,1297,1095,2392
Tayikistan,Tajikistan,Asia,Asia,821,623,1444
Terr. Britanico del Oceano indico,British Indian Ocean Land,Africa,Africa,7,4,11
Timor Oriental,east timor,Asia,Asia,24,13,37
Togo,Togo,Africa,Africa,643,248,891
Tokelau,Tokelauan,Oceania,Oceania,3,,3
Tonga,tonga,Oceania,Oceania,176,158,334
Trinidad y Tobago,Trinidad and Tobago,Islas del Caribe,Caribbean Islands,25248,26109,51357
Tunez,Tunisia,Africa,Africa,6374,4234,10608
"Turcos y Caicos, Islas (R. Unido)",Turks and Caicos Islands (United Kingdom),Islas del Caribe,Caribbean Islands,448,407,855
Turkmenistan,turkmenistan,Asia,Asia,291,342,633
Turquia,Turkey,Asia,Asia,80803,43949,124752
Tuvalu,Tuvalu,Oceania,Oceania,15,17,32
Ucrania,Ukraine,Europa,Europe,93159,118659,211818
Uganda,Uganda,Africa,Africa,1090,1015,2105
Uruguay,Uruguay,America del Sur,South America,154330,147562,301892
Uzbekistan,uzbekistan,Asia,Asia,5840,5242,11082
